;;;;;;;;;;;;;;;;;;; $ 2.976.195,01 ;;;
DOMINIO;MARCA;MODELO;AÑO;PROVEEDOR;F/COMPRA;F/VENTA;GESTOR;RADIACION ANTERIOR;F/TITULO;RADIACION ACTUAL;ALTA;F/ENVIO ;BAJA;F/ENVIO ;GESTOR; DEUDA ;HONORARIOS;ARANCELES;DEUDA TOTAL;FECHA PAGO ;FECHA RESOLUCION ;
AF946FN;RENAULT;STEPWAY PH2 INTENS 1.6;2023;CAR FRANCE;27/4/2026;6/6/2026;SOL;CHACO - RESISTENCIA;2/7/2026;SANTA FE - ROSARIO;PTE;;OK;13-jul;HECTOR ; $ 19.954,92 ; $ 30.000,00 ; $ 5.000,00 ; $ 54.954,92 ;23-jul;27-jul;
MYN462;CITROEN;C3 1.5L TENDANCE PACK;2013;CLIENTE;20/3/2026;8/6/2026;SOL;CORDOBA - ISLA VERDE;1/7/2026;SANTA FE - CAP BERMUDEZ;OK;;PTE;;;;;; $ -   ;;;
AD870HA;RENAULT;CAPTUR INTENS 2.0;2019;KYOTO;27/4/2026;9/6/2026;CACHO ;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
LJR875;RENAULT;SANDERO PACK 1.6 8V;2012;CLIENTE;22/1/2025;12/6/2026;SOL;SANTA FE - VGG ;6/7/2026;SANTA FE - ROSARIO;OK;;PTE;;;;;; $ -   ;;;
MOD506;VW;VOYAGE COMFORTLINE;2013;CLIENTE;9/1/2026;18/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AF718GP.;NISSAN;KICKS 1.6 X-PLAY CVT;2023;CLIENTE;7/5/2026;19/6/2026;CLIENTE;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AB711ML.;PEUGEOT;208 1.6 ALLURE NAV TIPTRONIC;2017;CLIENTE;10/4/2026;22/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AD212KD;FORD;KA FREESTYLE 1.5L MT;2018;CLIENTE;2/1/2026;22/6/2026;SOL;SANTA FE - SAN LORENZO;6/7/2026;SANTA FE - FUNES ;OK;;PTE;;;;;; $ -   ;;;
AD836OR;RENAULT;STEPWAY EXPRESSION 1.6 16V;2019;CLIENTE;5/1/2026;22/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AE914OF;JEEP;RENEGADE 1.8L SPORT MT;2021;CLIENTE;5/2/2026;24/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AG236RD;PEUGEOT;208 ALLURE PACK  1.6 AM23.5;2023;METZ;27/4/2026;26/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AG131HY;RENAULT;KANGOO II EXPRESS 5 A 1.5 DCI;2023;CAR FRANCE;27/4/2026;27/6/2026;SOL;CHACO - RESISTENCIA;23/7/2026;SANTA FE - ROSARIO;PTE;;PTE;;;;;; $ -   ;;;
AD521AL;FORD;ECOSPORT TITANIUM 1.5L MT N;2019;KYOTO;15/1/2026;6/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AC765KU.;PEUGEOT;208 ALLURE 1.6;2018;CLIENTE;29/5/2026;6/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
HQU572;PEUGEOT;206 XT 1.6 5P;2008;CLIENTE;2/6/2026;9/7/2026;CLIENTE;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
LNZ817;CHEVROLET;SPARK 1.2 LT;2012;CLIENTE;9/6/2026;10/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
AE477GJ;RENAULT;KWID INTENS 1.0;2020;CAR FRANCE;13/5/2026;13/7/2026;CLIENTE;CHACO - PUERTO TIROL ;23/7/2026;SANTA FE - FUNES;OK;;PTE;;;;;; $ -   ;;;
AF806GU;TOYOTA;YARIS XS 1.5 6M/T 5 PUERTAS;2023;CLIENTE;19/6/2026;13/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
MQJ636;FORD;ECOSPORT SE 1.6L MT N;2013;CLIENTE;13/1/2026;16/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
OXL597;RENAULT;STEPWAY DYNAMIQUE 1.6 16V;2015;CLIENTE;2/2/2025;17/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
MQM470;FORD;FOCUS EXE STYLE 1.6L;2013;CLIENTE;19/3/2026;21/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
LNI801;RENAULT;DUSTER PRIVILEGE 2.0 4X2;2012;CLIENTE;13/4/2026;24/7/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
