;;;;;;;;;;;;;;;;;;; $ 2.976.195,01 ;;;
DOMINIO;MARCA;MODELO;AÑO;PROVEEDOR;F/COMPRA;F/VENTA;GESTOR;RADIACION ANTERIOR;F/TITULO;RADIACION ACTUAL;ALTA;F/ENVIO ;BAJA;F/ENVIO ;GESTOR; DEUDA ;HONORARIOS;ARANCELES;DEUDA TOTAL;FECHA PAGO ;FECHA RESOLUCION ;
PDS466;RENAULT;DUSTER DYNAMIQUE 1.6;2015;CAR FRANCE;14/10/2025;29/11/2025;SOL;CHACO - RESISTENCIA;5/1/2026;SANTA FE - SAN LORENZO ;OK;;OK;20-may;HECTOR; $ 13.650,40 ; $ 20.000,00 ; $ 5.000,00 ; $ 38.650,40 ;PAGADO 22-5;27/5/2026;
AE348OT;PEUGEOT;208 ACTIVE 1.6L;2020;KYOTO;5/9/2025;27/11/2025;SOL;CHACO - RESISTENCIA;15/12/2026;BS AS - SAN NICOLAS;OK;;OK;20-may;HECTOR; $ 37.163,08 ; $ 20.000,00 ; $ 5.000,00 ; $ 62.163,08 ;PAGADO 22-5;27/5/2026;
AH960VI;VW;TERA HIGH;2025;ROLEN;15/11/2025;15/11/2025;SOL;0 KM;28/11/2025;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AH894OK;TOYOTA;YARIS XS 1.5 CVT 5P;2025;GINZA;11/2/2025;17/10/2025;SOL;0 KM;31/10/2025;SANTA FE - FUNES;OK;;OK;;;;;; $ -   ;;;
A172BWT;VESPA;GTS 300;2022;CLIENTE;1/7/2025;18/7/2025;SOL;SANTA FE - FUNES;17/6/2025;SANTA FE - FUNES;OK;;OK;;;;;;;;;
AF599RZ;NISSAN;KICKS 1.6 ADVANCE MT;2022;METZ;10/7/2025;12/9/2025;SOL;CHACO - RESISTENCIA;29/9/2025;SANTA FE - ROSARIO;OK;;OK;;;;;;;;;
AF833XS;RENAULT;SANDERO ZEN 1.6;2023;CAR FRANCE;10/7/2025;28/10/2025;SOL;CHACO - RESISTENCIA;18/11/2025;SANTA FE - VILLA CONSTITUCION ;OK;;OK;20-may;HECTOR; $ 147.378,90 ; $ 20.000,00 ; $ 5.000,00 ; $ 172.378,90 ;PAGADO 22-5;27/5/2026;
NVL843;RENAULT;SANDERO PRIVILEGE 1.6 16V NAV;2014;CLIENTE;15/7/2025;29/10/2025;SOL;SANTA FE - ROSARIO;25/11/2025;SANTA FE - ROSARIO;OK;;OK;;;;;;;;27/5/2026;
AA227QF;FORD;ECOSPORT TITANIUM 1.6L MT N;2016;CLIENTE;19/12/2024;3/11/2025;SOL;ENTRE RIOS - VICTORIA;25/11/2025;SANTA FE - SAN JERONIMO ;OK;;PTE;VICTORIA;;;;;;;;
AF291VZ;PEUGEOT;208 ALLURE TIPTRONIC 1.6L;2022;CLIENTE;11/7/2025;15/11/2025;SOL;SANTA FE - ROLDAN;1/12/2025;SANTA FE - BAIGORRIA ;OK;;OK;;;;;;;;;
AE982PP;NISSAN;FRONTIER CD LE 2.3D 4X4 AT;2021;KYOTO;5/9/2025;15/11/2025;SOL;CHACO - RESISTENCIA;19/12/2025;SANTA FE - FUNES;OK;;OK;20-may;HECTOR; $ 44.265,01 ; $ 20.000,00 ; $ 5.000,00 ; $ 69.265,01 ;PAGADO 22-5;27/5/2026;
AG131HG;PEUGEOT;208 STYLE MT 23.5 1.6L;2023;METZ;5/9/2025;10/11/2025;SOL;CHACO - RESISTENCIA;1/12/2025;SANTA FE - ROSARIO;OK;;OK;20-may;HECTOR; $ 52.008,79 ; $ 20.000,00 ; $ 5.000,00 ; $ 77.008,79 ;PAGADO 22-5;27/5/2026;
KKW288;FIAT;PALIO ATTRACTIVE 1.4 8V;2011;CLIENTE;18/8/2025;26/11/2025;SOL;SANTA FE - GRAL LAGOS;10/12/2025;SANTA FE - IBARLUCEA;OK;;OK;;;;;;;;;
AC094UT;CITROEN;C3 VTI 115 FEEL;2018;CLIENTE;9/10/2025;28/11/2025;SOL;BS AS - ROJAS;18/12/2025;SANTA FE - ROSARIO ;OK;;OK;;;;;;;;;
AE837WM;NISSAN;FRONTIER CD SE 2.3 D 4X4 MT;2021;KYOTO;10/7/2025;2/12/2025;SOL;CHACO - RESISTENCIA;16/12/2025;SANTA FE - ROSARIO ;OK;;OK;2-jun;HECTOR; $ -   ; $ 20.000,00 ; $ 5.000,00 ; $ 25.000,00 ;PAGADO 2-6;8/6/2026;
NUQ011;FIAT;PUNTO ESSENCE 1.6 16V;2014;CLIENTE;11/6/2025;28/11/2025;SOL;SANAT FE - ROSARIO;15/12/2025;SANTA FE - FUNES;OK;;OK;;;;;;;;;
AE490AA;RENAULT;STEPWAY INTENS 1.6;2020;CAR FRANCE;5/9/2025;22/11/2025;SOL;CHACO - FONTANA;19/12/2025;SANTA FE - ROSARIO ;OK;;PTE;;;;;;;;;
AF583KJ;NISSAN;VERSA 1.6 ADVANCE MT;2022;KYOTO;31/7/2025;17/10/2025;SOL;CHACO - RESISTENCIA;12/11/2025;SANAT FE - CARCARAÑA;OK;;OK;2-jun;HECTOR; $ 62.835,63 ; $ 20.000,00 ; $ 5.000,00 ; $ 87.835,63 ;PAGADO 2-6;8/6/2026;
PMA292;RENAULT;LOGAN PRIVILEGE 1.6;2016;CLIENTE;14/11/2025;27/1/2026;SOL;SANTA FE - ROSARI0;10/2/2026;SANTA FE - ZAVALLA;OK;;OK;;;;;; $ -   ;;;
AF970PN;RENAULT;LOGAN INTENS 1.6;2023;CAR FRANCE;31/7/2025;16/1/2026;SOL;CORRIENTES - CORRIENTES;9/2/2026;SANTA FE - ROSARIO;OK;;OK;;; $ 355.922,57 ; $ -   ; $ -   ; $ 355.922,57 ;;;
AA614DN;RENAULT;SANDERO PRIVILEGE;2016;CAR FRANCE;20/11/2025;26/1/2026;SOL;CHACO - RESISTENCIA;12/2/2026;SANTA FE - ROSARIO;OK;;OK;;20-may; $ 6.694,87 ; $ 20.000,00 ; $ 5.000,00 ; $ 31.694,87 ;PAGADO 22-5;27/5/2026;
AE354CS;RENAULT;SANDERO STEPWAY INTENS 1.6;2020;KYOTO;14/10/2025;15/1/2026;SOL;CHACO - RESISTENCIA;4/2/2026;SANTA FE - ROSARIO;OK;9/6/2026;PTE;;;;;; $ -   ;;27/5/2026;
AF860CD;RENAULT;KANGOO II EXPRESS CONFORT 1.6 SCE;2023;KYOTO;5/9/2025;13/1/2026;SOL;CHACO - VILLA ANGELA;19/2/2026;SANTA FE - PEREZ;OK;;OK;;;;;; $ -   ;;;
AD553TE;VW;UP TAKE 1.0;2019;CLIENTE;17/10/2025;8/1/2026;SOL;SANTA FE - FUNES;28/1/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AA557IT;RENAULT;CLIO MIO 5P CONFORT;2016;CAR FRANCE;14/10/2025;7/1/2026;SOL;CORRIENTES - CORRIENTES;4/2/2026;SANTA FE - FUNES;OK;;OK;;; $ 29.269,19 ;;; $ 29.269,19 ;;;
AC146AW;RENAULT;DUSTER PH2 PRIVILEGE 1.6;2018;CAR FRANCE;31/7/2025;9/1/2026;SOL;CORRIENTES - BELLA VISTA;27/1/2026;SANTA FE - ROLDAN ;OK;;PTE;;'''''';;;; $ -   ;;;
AG115MD;PEUGEOT;208 STYLE AT23.5;2023;KYOTO;20/11/2025;2/1/2026;SOL;CORRIENTES - CORRIENTES;21/1/2026;SANTA FE - SAN LORENZO ;OK;;OK;;; $ 168.747,59 ; $ -   ; $ -   ; $ 168.747,59 ;;;
AF443GP;RENAULT;SANDERO STEPWAY  INTENS 1.6;2022;CAR FRANCE;10/7/2025;5/1/2026;SOL;CHACO - RESISTENCIA;2/2/2026;SANTA FE - IBARLUCEA;OK;;PTE;;;;;; $ -   ;;;
AF971OS;RENAULT;KANGOO II EXPRESS EMOTION 5A 1.6 SCE;2023;CLIENTE;16/9/2025;5/1/2026;SOL;SANTA FE - ROSARIO;19/1/2026;SANTA FE - CHABAS;OK;;OK;;;;;; $ -   ;;;
AE484TN;RENAULT;DUSTER PH2 DYNAMIQUE 1.6;2020;CAR FRANCE;21/4/2025;6/1/2026;SOL;CHACO - NUEVA POMPEYA;19/1/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AA882LX;NISSAN;MARCH ADVANCE MEDIA-TECH AT PURE;2017;METZ;10/7/2025;24/1/2026;SOL;CHACO - SAN MARTIN;20/2/2026;SANTA FE - SANTA FE ;OK;;OK;13-jul;HECTOR;;;; $ 65.000,00 ;23-jul;;
AE297RX;PEUGEOT;208 ACTIVE 1.6;2020;METZ;29/11/2024;10/2/2026;SOL;CORRIENTES - CORRIENTES;25/2/2026;SANTA FE - ROLDAN ;OK;;OK;;; $ 601.214,61 ; $ -   ; $ -   ; $ 601.214,61 ;;;
AF609MP;RENAULT;SANDERO PH2 ZEN 1.6;2022;KYOTO;31/7/2025;10/2/2026;SOL;CHACO - FONTANA;2/3/2026;SANTA FE - ROSARIO;OK;;PTE;;;;;; $ -   ;;;
