;;;;;;;;;;;;;;18/6/2024;3/8/2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1619;1483;;;;;;;;;;;;;;;;
;;;;;;;;;;$ 5.765.176;$ 12.491.307.393;;;;;COSTO;;;;;;;;;;;;;;;
 N° ; DOMINIO ; MARCA ; MODELO  ; Vendedor ; MOTOR ; AÑO ; COLOR ; KM ; Proveedor ; NRO OPERACIÓN ; PRECIO INFOAUTO COMPRA ; POSICION ; ESTADO ; Fecha compra ; Fecha venta ;COMPRA;FLETE;GASTOS PREPARACION;Patentes - Bajas;Otros Gastos;Costo;Ref. Costo / Info;Total Gastos;;;;;;;;
20;PLZ433;RENAULT;KANGOO;PH3 AUTH. PLUS 1.6 2P 7 ASIENTOS;NAFTA;2016;GRIS CLARO;107.000;-;-;$ 375.000;VENDIDO;Entregado;;;$ 212.000;$ 4.300;;;;$ 216.300;$ 4.300;;;;;;;;;
21;AA666QU;RENAULT;KANGOO ;PH3 CONFORT 1.6L 1P;NAFTA;2016;BLANCA;6.000;-;-;$ 270.000;VENDIDO;Entregado;26/1/2019;28/3/2019;$ 203.800;$ 4.400;;;;$ 208.200;$ 4.400;;;;;;;;;
22;AC688GX;RENAULT;KWID;ZEN 1.0;NAFTA;2018;-;0;-;-;;VENDIDO;Entregado;;1/3/2019;$ 323.000;;;;;$ 323.000;$ 0;;;;;;;;;
23;AC858FK;RENAULT;KWID;INTENS 1.0;NAFTA;2018;ORANGE ACRE;0KM;-;-;;Entregado;Entregado;8/4/2019;27/4/2019;$ 338.000;$ 4.200;;;;$ 342.200;$ 4.200;;;;;;;;;
24;AC858FJ;RENAULT;KWID;1.0 ZEN;NAFTA;2018;ROJO FUEGO;0KM;-;-;$ 395.000;VENDIDO;Entregado;26/1/2019;14/9/2019;$ 330.000;$ 3.800;$ 4.000;;;$ 337.800;$ 7.800;;;;;;;;;
25;AD513ED;RENAULT;KWID;ZEN 1.0;NAFTA;2019;ROJO FUEGO;0KM;-;-;$ 502.000;VENDIDO;Entregado;8/4/2019;6/7/2019;$ 341.120;$ 4.200;;;;$ 345.320;$ 4.200;;;;;;;;;
26;OVC799;RENAULT;NUEVO MASTER; L1H1 AA CORTA;DIESEL;2015;BLANCA;21.000;-;-;$ 745.000;VENDIDO;Entregado;1/3/2019;23/3/2019;$ 550.000;$ 4.400;$ 300;;;$ 554.700;$ 4.700;;;;;;;;;
27;OWL337;RENAULT;NUEVO SANDERO;STEPWAY II 1.6 DYNAMIQUE;NAFTA;2015;ORANGE ACRE;20.000;-;-;$ 350.000;VENDIDO;Entregado;1/3/2019;6/6/2019;$ 235.000;$ 4.200;$ 6.000;;;$ 245.200;$ 10.200;;;;;;;;;
28;AB253FO;RENAULT;NUEVO SANDERO;STEPWAY PRIVILEGE;NAFTA;2017;BLANCO;14.000;-;-;$ 445.000;Entregado;Entregado;8/4/2019;25/4/2019;$ 353.600;$ 4.200;;;;$ 357.800;$ 4.200;;;;;;;;;
29;AA138FF;RENAULT;DUSTER OROCH; DYNAMIQUE 1.6;NAFTA;2016;GRIS ACERO;40.000;-;-;$ 420.000;VENDIDO;Entregado;6/3/2019;28/3/2019;$ 323.440;$ 4.200;$ 3.500;;;$ 331.140;$ 7.700;;;;;;;;;
30;AC752MV;RENAULT;DUSTER OROCH; Outsider Plus 2.0;NAFTA;2018;VERDE ESMERALDA;0KM;-;-;$ 570.000;VENDIDO;Entregado;17/4/2019;29/3/2019;$ 610.000;$ 4.200;;;;$ 614.200;$ 4.200;;;;;;;;;
31;KMT315;RENAULT;SANDERO; STEPWAY PH2 DYNAMIQUE;NAFTA;2011;GRIS ACERO;34.900;-;-;$ 225.000;VENDIDO;Entregado;7/3/2019;28/3/2019;$ 145.600;$ 4.200;$ 1.200;;;$ 151.000;$ 5.400;;;;;;;;;
32;PPA254;RENAULT;SANDERO;STEPWAY PRIVILEGE 1,6;NAFTA;2016;GRIS PLATA ;47.000;-;-;$ 405.000;VENDIDO;Entregado;;19/3/2019;$ 399.000;;;;;$ 399.000;$ 0;;;;;;;;;
33;MTG046;TOYOTA;COROLLA;XRS;NAFTA;2013;GRIS CLARO;152.000;-;-;$ 420.000;Entregado;Entregado;28/6/2019;2/7/2019;$ 347.000;;;;;$ 347.000;$ 0;;;;;;;;;
34;AA810VU;TOYOTA;ETIOS 1.5 5 PTAS XLS 6MT;;NAFTA;2016;GRIS;32.000;-;-;$ 375.000;Entregado;Entregado;16/1/2019;19/4/2019;$ 268.000;$ 3.800;$ 4.300;;;$ 276.100;$ 8.100;;;;;;;;;
35;AC945MG;TOYOTA;ETIOS 1.5 XLS 4 PTAS;;NAFTA;2018;BLANCO;12.000;-;-;;VENDIDO;Entregado;25/1/2019;1/3/2019;$ 345.000;$ 3.800;;;;$ 348.800;$ 3.800;;;;;;;;;
36;LMP412;VW;AMAROK; 2.0 TDI 18 HIGHLINE  PACK CUERO AT 4X4;DIESEL;2012;BLANCA;154.000;-;-;$ 720.000;VENDIDO;Entregado;;19/3/2019;$ 659.000;;;;;$ 659.000;$ 0;;;;;;;;;
37;OSB667;VW;SAVEIRO; 1,6 HIGLINE PACK DOB CABINA;NAFTA;2015;NEGRA;16.000;-;-;$ 360.000;Entregado;Entregado;8/3/2019;23/4/2019;$ 282.880;$ 4.200;;;;$ 287.080;$ 4.200;;;;;;;;;
38;OVP428;VW;SAVEIRO 1,6 L  SAFETY  PACK HIGH  CAB EXT;;NAFTA;2015;ROJA;76.372;-;-;$ 305.000;Entregado;Entregado;1/10/2018;8/4/2019;$ 192.400;$ 3.800;$ 1.000;;;$ 197.200;$ 4.800;;;;;;;;;
39;OKI778;VW;UP;5 PTAS TAKE AA;NAFTA;2015;GRIS;53.000;-;-;$ 341.000;VENDIDO;entregado;;15/9/2019;$ 250.000;;;;;$ 250.000;$ 0;;;;;;;;;
40;LKG223;FIAT;SIENA;ATRACTIVE EMOTION 1.4;NAFTA;2012;GRIS OSCURO;27.000;-;-;$ 183.000;Entregado;Entregado - 10/04/2019;1/3/2019;5/4/2019;$ 139.620;$ 5.000;$ 2.600;;;$ 147.220;$ 7.600;;;;;;;;;
41;VAH385;CHEVROLET;C10;PICK UP CLASICA;NAFTA;1966;CELESTE;0KM;-;-;-;Funes Exclusivos;LP;25/8/2019;;;;;;;$ 0;$ 0;;;;;;;;;
42;LGC738;CHEVROLET;CELTA 1.4 5 PTAS LT;1.4 5 PTAS LT;GNC;2012;NEGRO;104.000;-;-;$ 220.000;Galpon VGG;LP;17/5/2019;;$ 126.000;;$ 6.500;;;$ 132.500;$ 6.500;;;;;;;;;
43;NZX591;CHEVROLET;ONIX;1,4 N LT 5 PTAS;NAFTA;2014;GRIS PLATA;83.700;-;-;$ 410.000;Galpon VGG;LP;16/9/2019;23/12/2019;$ 272.160;$ 4.000;;;;$ 276.160;$ 4.000;;;;;;;;;
44;PAN466;CHEVROLET;TRACKER;AWD LTZ+ 4X4;NAFTA;2015;BLANCO;63.800;-;-;$ 705.000;Funes Exclusivos;Vendido;5/10/2020;7/2/2020;$ 595.000;;;$ 5.853;;$ 600.853;$ 5.853;;;;;;;;;
45;AB888OP;CITROEN;C3;VTI FEEL;NAFTA;2017;GRIS OSCURO;37.500;-;-;$ 550.000;Entregado;Vendido;10/10/2019;23/12/2019;$ 349.440;$ 4.500;$ 10.500;;;$ 364.440;$ 15.000;;;;;;;;;
46;NLM629;FIAT;GRAND SIENA;ATTRACTIVE 1.4 8V;NAFTA;2014;GRIS;76.000;-;-;;Funes Exclusivos;Vendido;;;$ 199.000;;$ 7.500;;;$ 206.500;$ 7.500;;;;;;;;;
47;OZJ598;FIAT;PALIO;1.4 5 P ATRACTIVE L/14;NAFTA;2015;ROJO;48.000;-;-;$ 317.000;Galpon VGG;LP;28/8/2019;6/11/2019;$ 202.800;$ 4.000;$ 12.400;;;$ 219.200;$ 16.400;;;;;;;;;
48;MNF517;FIAT;SIENA;EL ATTRACTIVE 1.4;NAFTA;2013;BLANCO;107.000;-;-;;Entregado;Vendido;;;;$ 4.000;;;;$ 4.000;$ 4.000;;;;;;;;;
49;NQM319;FIAT;SIENA;EL 1.4 8V;NAFTA;2014;GRIS PLATA;54.900;-;-;$ 274.000;Funes Exclusivos;LP;16/5/2019;;$ 192.640;$ 4.200;;;;$ 196.840;$ 4.200;;;;;;;;;
50;AB014JV;FIAT;STRADA;ADVENTURE 1.6 DC L/14;NAFTA;2017;BLANCO;22.800;-;-;$ 595.000;VENDIDO;Vendido;6/8/2019;3/12/2019;$ 198.200;$ 4.200;;;;$ 202.400;$ 4.200;;;;;;;;;
51;FKE094;FORD;ECOSPORT;1.6 XLS;NAFTA;2006;BORDO;145.000;-;-;$ 215.000;Galpon VGG;LP;12/6/2019;;$ 150.000;;;;$ 23.000;$ 173.000;$ 23.000;$ 23.000;;;;;;;;
52;IFJ621;FORD;ECOSPORT;1.6 XLS;NAFTA;2009;NEGRO;;-;-;;Funes Exclusivos;LP;;;;;;;;$ 0;$ 0;$ 0;;;;;;;;
53;FLM569;IVECO;DAILY;49.12 FURGON;DIESEL;2006;BLANCA;400.000;-;-;$ 590.000;PEDRO;LP;20/7/2019;23/12/2019;$ 300.000;$ 7.000;$ 20.000;;$ 1.000;$ 328.000;$ 28.000;$ 28.000;;;;;;;;
54;AE031VK;NISSAN;FRONTIER   ;2.3 DC 4x2 SE;DIESEL;2019;BLANCO HIELO;0KM;-;-;;Funes Exclusivos;LP;18/5/2020;18/5/2020;$ 1.400.000;$ 4.500;;;;$ 1.404.500;$ 4.500;$ 4.500;;;;;;;;
55;AE037YQ;NISSAN;KICKS;EXCLUSIVE;NAFTA;2019;BORDO;0KM;-;-;;VENDIDO;Vendido;13/2/2020;13/2/2020;$ 1.185.000;$ 5.000;;;;$ 1.190.000;$ 5.000;$ 5.000;;;;;;;;
56;AD513GA;NISSAN;MARCH; ACTIVE PURE DRIVE F2;NAFTA;2019;ROJO;0KM;-;-;;Funes Exclusivos;LP;7/3/2019;;$ 155.000;;;;;$ 155.000;$ 0;$ 0;;;;;;;;
57;AD976BD;NISSAN;MARCH;ADVANCE MT;NAFTA;2019;BLANCO;0KM;-;-;;Funes Exclusivos;LP;;08/ene;$ 670.000;$ 5.000;;;;$ 675.000;$ 5.000;$ 5.000;;;;;;;;
58;AB908UP;NISSAN;NOTE;SENSE PURE DRIVE;NAFTA;2017;GRIS;20.691;-;-;;Entregado;LP;10/11/2019;08/ene;$ 428.000;$ 5.000;;;;$ 433.000;$ 5.000;$ 5.000;;;;;;;;
59;AD005AJ;NISSAN;VERSA;SENSE AT;NAFTA;2018;GRIS CLARO;0KM;-;-;$ 535.000;Funes Exclusivos;LP;1/7/2019;;$ 355.000;$ 4.300;;;;$ 359.300;$ 4.300;$ 4.300;;;;;;;;
60;AD828TH;RENAULT;CAPTUR;INTENS 2.0;NAFTA;2019;GRIS ETOILE + NEGRO;0KM;-;-;;Galpon VGG;LP;31/12/2019;31/12/2019;$ 976.732;$ 5.000;;;;$ 981.732;$ 5.000;$ 5.000;;;;;;;;
61;MRC339;RENAULT;CLIO MIO;5P EXPRESSION PACK I;NAFTA;2013;NEGRO NACRE;62.000;-;-;$ 255.000;Funes Exclusivos;LP;20/7/2019;;$ 405.080;$ 4.000;;;;$ 409.080;$ 4.000;$ 4.000;;;;;;;;
62;NIB326;RENAULT;DUSTER;1.6 4X2 TECH ROAD;NAFTA;2014;GRIS PLATA;87.800;-;-;$ 530.000;Entregado;Vendido;16/9/2019;23/12/2019;$ 297.920;$ 4.300;;;;$ 302.220;$ 4.300;$ 4.300;;;;;;;;
63;AA092WN;RENAULT;DUSTER;1.6 4X2 PRIVILEGE L/15;NAFTA;2016;BLANCO;89.000;-;-;$ 615.000;Funes Exclusivos;LP;16/9/2019;Consignacion;$ 330.000;$ 4.200;;;;$ 334.200;$ 4.200;$ 4.200;;;;;;;;
64;AD313ES;RENAULT;DUSTER PH2 PRIVILEGE 2.0 4X4;PH2 PRIVILEGE 2.0 4X4;NAFTA;2018;GRIS ACERO;0KM;-;-;;Funes Exclusivos;Entregado;4/11/2019;4/11/2019;$ 819.000;$ 4.000;;;;$ 823.000;$ 4.000;$ 4.000;;;;;;;;
65;AC601GD;RENAULT;DUSTER OROCH;DYNAMIQUE 1,6 16V;NAFTA;2018;GRIS ETOILE;;-;-;;Funes Exclusivos;LP;;;$ 527.280;$ 4.000;;;;$ 531.280;$ 4.000;$ 4.000;;;;;;;;
66;AD540UC;RENAULT;DUSTER OROCH 1.6 DYNAMIQUE;;NAFTA;2019;GRIS ACERO;0KM;-;-;$ 913.000;Funes Exclusivos;LP;12/12/2018;27/12/2019;$ 723.208;$ 4.000;;;;$ 727.208;$ 4.000;$ 4.000;;;;;;;;
67;AD560KM;RENAULT;DUSTER OROCH;2.0 PRIVILEGE;NAFTA;2019;ROJO FUEGO;;-;-;;Funes Exclusivos;LP;;;$ 616.000;;;;;$ 616.000;$ 0;$ 0;;;;;;;;
68;OBX853;RENAULT;KANGOO;PH3 AUTH. PLUS 1.6 2P 7 ASIENTOS;NAFTA;2014;ROJO VIVO;35.000;-;-;;Funes Exclusivos;LP;;;$ 288.600;$ 4.000;;;;$ 292.600;$ 4.000;$ 4.000;;;;;;;;
69;PKH566;RENAULT;KANGOO;PH3 AUTH. PLUS 1.6 2P 7 ASIENTOS;NAFTA;2015;GRIS PLATA;67.700;-;-;$ 445.000;Funes Exclusivos;LP;16/9/2019;28/8/2019;$ 490.880;$ 4.500;$ 5.600;;;$ 500.980;$ 10.100;$ 10.100;;;;;;;;
70;AA337PL;RENAULT;KANGOO;PH3 CONFORT 1,6 5 ASIENTOS 2P;NAFTA;2016;GRIS ETOILE;;-;-;;Galpon VGG;LP;;;$ 327.271;$ 4.000;;;;$ 331.271;$ 4.000;$ 4.000;;;;;;;;
71;AD065PE;RENAULT;KANGOO;CONFORT 1.6 1P;NAFTA;2018;BLANCO GLACIAR;0KM;-;-;$ 480.000;Funes Exclusivos;Vendido;3/12/2019;3/12/2019;$ 520.000;$ 4.500;;;;$ 524.500;$ 4.500;$ 4.500;;;;;;;;
